,fast_period,slow_period,sig_period,return,dd,sharpe
484,10,21,11,-21.73,11.62,-3.28
485,10,21,12,-26.31,14.26,-12.36
486,10,21,13,-25.85,14.31,-14.94
487,10,21,14,-22.24,12.24,-10.73
488,10,22,7,-36.78,22.40,-17.59
489,10,22,8,-32.17,19.60,-8.40
490,10,22,9,-29.76,18.17,-23.09
491,10,22,10,-26.40,14.32,-12.94
492,10,22,11,-26.31,14.26,-12.36
493,10,22,12,-26.31,14.26,-12.36
494,10,22,13,-25.85,14.31,-14.94
495,10,22,14,-22.24,12.24,-10.73
496,10,23,7,-31.24,19.04,-8.18
497,10,23,8,-31.57,19.24,-9.53
498,10,23,9,-30.04,16.48,-12.01
499,10,23,10,-28.47,15.54,-672.47
500,10,23,11,-26.31,14.26,-12.36
501,10,23,12,-25.69,14.22,-16.06
502,10,23,13,-22.24,12.24,-10.73
503,10,23,14,-22.24,12.24,-10.73
504,10,24,7,-27.04,16.59,-71.33
505,10,24,8,-30.47,16.73,-14.82
506,10,24,9,-30.04,16.48,-12.01
507,10,24,10,-28.47,15.54,-672.47
508,10,24,11,-25.69,14.22,-16.06
509,10,24,12,-25.85,14.31,-14.94
510,10,24,13,-22.24,12.24,-10.73
511,10,24,14,-22.24,12.24,-10.73
512,10,25,7,-31.74,17.50,-7.23
513,10,25,8,-30.47,16.73,-14.82
514,10,25,9,-31.97,17.65,-8.82
515,10,25,10,-27.86,15.49,-49.59
516,10,25,11,-25.69,14.22,-16.06
517,10,25,12,-22.24,12.24,-10.73
518,10,25,13,-22.24,12.24,-10.73
519,10,25,14,-22.24,12.24,-10.73
520,10,26,7,-31.74,17.50,-7.23
521,10,26,8,-30.04,16.48,-12.01
522,10,26,9,-30.02,16.47,-18.52
523,10,26,10,-27.86,15.49,-49.59
524,10,26,11,-25.85,14.31,-14.94
525,10,26,12,-22.24,12.24,-10.73
526,10,26,13,-22.24,12.24,-10.73
527,10,26,14,-22.24,12.24,-10.73
528,10,27,7,-32.35,17.88,-6.38
529,10,27,8,-30.04,16.48,-12.01
530,10,27,9,-29.42,16.42,-13.78
531,10,27,10,-27.86,15.49,-49.59
532,10,27,11,-25.85,14.31,-14.94
533,10,27,12,-22.24,12.24,-10.73
534,10,27,13,-22.24,12.24,-10.73
535,10,27,14,-22.45,12.26,-11.81
536,10,28,7,-32.01,17.67,-5.88
537,10,28,8,-33.93,18.85,-21.45
538,10,28,9,-29.42,16.42,-13.78
539,10,28,10,-27.86,15.49,-49.59
540,10,28,11,-22.24,12.24,-10.73
541,10,28,12,-22.24,12.24,-10.73
542,10,28,13,-22.24,12.24,-10.73
543,10,28,14,-22.45,12.26,-11.81
544,10,29,7,-32.01,17.67,-5.88
545,10,29,8,-30.02,16.47,-18.52
546,10,29,9,-29.42,16.42,-13.78
547,10,29,10,-27.86,15.49,-49.59
548,10,29,11,-22.24,12.24,-10.73
549,10,29,12,-22.24,12.24,-10.73
550,10,29,13,-22.24,12.24,-10.73
551,10,29,14,-18.08,11.20,-3.13
552,10,30,7,-32.01,17.67,-5.88
553,10,30,8,-29.42,16.42,-13.78
554,10,30,9,-29.42,16.42,-13.78
555,10,30,10,-28.01,15.58,-64.56
556,10,30,11,-22.24,12.24,-10.73
557,10,30,12,-22.24,12.24,-10.73
558,10,30,13,-18.08,11.20,-3.13
559,10,30,14,-18.08,11.20,-3.13
560,10,31,7,-33.63,18.67,-26.47
561,10,31,8,-30.02,16.47,-18.52
562,10,31,9,-29.42,16.42,-13.78
563,10,31,10,-24.37,13.46,-5.93
