,fast_base,slow_base,min_period_fast,max_period_fast,min_period_slow,max_period_slow,return,dd,sharpe
371,5,21,4,20,10,30,-10.68,14.02,-3.97
372,5,21,4,20,10,35,-10.85,15.74,-3.84
373,5,21,4,20,10,40,-10.92,15.79,-3.79
374,5,21,4,20,10,45,-22.28,15.74,-1.67
375,5,21,4,25,10,25,6.64,14.72,0.31
376,5,21,4,25,10,30,-2.30,13.11,-11.84
377,5,21,4,25,10,35,-2.49,14.85,-9.04
378,5,21,4,25,10,40,-5.68,14.86,-2.44
379,5,21,4,25,10,45,-18.97,14.85,-1.32
380,5,21,4,10,15,25,-20.14,25.34,-10.17
381,5,21,4,10,15,30,-27.94,24.26,-3.61
382,5,21,4,10,15,35,-28.09,25.78,-3.56
383,5,21,4,10,15,40,-26.24,25.80,-4.36
384,5,21,4,10,15,45,-37.53,25.76,-2.16
385,5,21,4,15,15,25,-15.99,23.09,-4.06
386,5,21,4,15,15,30,-24.18,22.08,-2.45
387,5,21,4,15,15,35,-24.49,23.79,-2.48
388,5,21,4,15,15,40,-22.54,23.81,-2.83
389,5,21,4,15,15,45,-34.39,23.75,-1.75
390,5,21,4,20,15,25,-2.15,16.11,-1.18
391,5,21,4,20,15,30,-10.68,14.02,-3.97
392,5,21,4,20,15,35,-10.85,15.74,-3.84
393,5,21,4,20,15,40,-10.92,15.79,-3.79
394,5,21,4,20,15,45,-22.28,15.74,-1.67
395,5,21,4,25,15,25,7.02,15.19,0.34
396,5,21,4,25,15,30,-2.30,13.11,-11.84
397,5,21,4,25,15,35,-2.49,14.85,-9.04
398,5,21,4,25,15,40,-5.68,14.86,-2.44
399,5,21,4,25,15,45,-18.97,14.85,-1.32
400,5,21,4,10,20,25,-20.14,25.34,-10.17
401,5,21,4,10,20,30,-27.94,24.26,-3.61
402,5,21,4,10,20,35,-28.09,25.78,-3.56
403,5,21,4,10,20,40,-26.24,25.80,-4.36
404,5,21,4,10,20,45,-37.53,25.76,-2.16
405,5,21,4,15,20,25,-15.99,23.09,-4.06
406,5,21,4,15,20,30,-24.18,22.08,-2.45
407,5,21,4,15,20,35,-24.49,23.79,-2.48
408,5,21,4,15,20,40,-22.54,23.81,-2.83
409,5,21,4,15,20,45,-34.39,23.75,-1.75
410,5,21,4,20,20,25,-2.15,16.11,-1.18
411,5,21,4,20,20,30,-10.68,14.02,-3.97
412,5,21,4,20,20,35,-10.85,15.74,-3.84
413,5,21,4,20,20,40,-10.92,15.79,-3.79
414,5,21,4,20,20,45,-22.28,15.74,-1.67
415,5,21,4,25,20,25,7.02,15.19,0.34
416,5,21,4,25,20,30,-2.30,13.11,-11.84
417,5,21,4,25,20,35,-2.49,14.85,-9.04
418,5,21,4,25,20,40,-5.68,14.86,-2.44
419,5,21,4,25,20,45,-18.97,14.85,-1.32
420,5,21,5,10,10,25,-22.06,24.01,-3.70
421,5,21,5,10,10,30,-29.47,23.38,-2.61
