,pfast,pmid,pslow,return,dd,sharpe
435,4,20,36,-49.54,42.26,-1.13
436,4,20,37,-47.60,35.14,-2.05
437,4,20,38,-46.64,34.61,-2.01
438,4,20,39,-44.55,33.27,-1.95
439,4,20,40,-43.56,32.74,-1.91
440,5,10,21,-42.77,35.45,-0.87
441,5,10,22,-43.05,35.01,-0.87
442,5,10,23,-39.56,33.68,-0.81
443,5,10,24,-8.33,11.40,-0.74
444,5,10,25,-42.25,35.99,-0.80
445,5,10,26,-45.57,37.35,-0.85
446,5,10,27,-49.81,39.65,-0.89
447,5,10,28,-50.97,40.52,-0.89
448,5,10,29,-11.06,16.65,-0.30
449,5,10,30,-23.33,23.32,-0.43
450,5,10,31,-21.48,23.19,-0.38
451,5,10,32,-21.23,23.40,-0.36
452,5,10,33,-21.26,23.94,-0.35
453,5,10,34,-20.72,24.19,-0.32
454,5,10,35,-22.28,25.45,-0.32
455,5,10,36,-22.55,25.86,-0.32
456,5,10,37,-22.41,26.05,-0.31
457,5,10,38,-21.94,26.00,-0.30
458,5,10,39,-21.71,25.76,-0.30
459,5,10,40,-22.47,25.66,-0.32
460,5,11,21,-45.11,36.39,-0.88
461,5,11,22,-43.05,35.01,-0.87
462,5,11,23,-39.56,33.68,-0.81
463,5,11,24,-8.33,11.40,-0.74
464,5,11,25,-42.25,35.99,-0.80
465,5,11,26,-45.57,37.35,-0.85
466,5,11,27,-49.81,39.65,-0.89
467,5,11,28,-50.97,40.52,-0.89
468,5,11,29,-24.72,23.35,-0.47
469,5,11,30,-23.33,23.32,-0.43
470,5,11,31,-21.48,23.19,-0.38
471,5,11,32,-24.70,25.10,-0.40
472,5,11,33,-23.86,25.27,-0.37
473,5,11,34,-23.01,25.22,-0.35
474,5,11,35,-22.28,25.45,-0.32
475,5,11,36,-22.55,25.86,-0.32
476,5,11,37,-22.41,26.05,-0.31
477,5,11,38,-21.94,26.00,-0.30
478,5,11,39,-21.71,25.76,-0.30
479,5,11,40,-22.47,25.66,-0.32
480,5,12,21,25.56,10.79,2.58
481,5,12,22,18.90,10.79,1.41
482,5,12,23,18.90,10.79,1.41
483,5,12,24,-30.69,28.62,-0.73
484,5,12,25,-30.65,28.37,-0.74
485,5,12,26,-34.70,30.21,-0.81
486,5,12,27,-37.61,31.90,-0.85
487,5,12,28,-40.79,34.25,-0.86
488,5,12,29,-24.32,21.60,-0.62
489,5,12,30,-23.34,21.00,-0.61
490,5,12,31,-25.37,22.54,-0.63
491,5,12,32,-25.45,22.50,-0.63
492,5,12,33,-25.01,22.07,-0.63
493,5,12,34,-25.75,21.69,-0.80
494,5,12,35,-25.50,21.56,-0.80
495,5,12,36,-25.91,21.87,-0.80
496,5,12,37,-23.44,21.09,-0.79
497,5,12,38,-23.02,20.75,-0.78
498,5,12,39,-22.95,20.68,-0.78
499,5,12,40,-22.00,20.88,-0.60
500,5,13,21,-38.59,32.57,-0.86
501,5,13,22,-36.26,30.89,-0.85
502,5,13,23,-33.64,29.70,-0.79
503,5,13,24,-12.71,13.06,-1.12
504,5,13,25,-30.65,28.37,-0.74
505,5,13,26,-34.70,30.21,-0.81
506,5,13,27,-37.61,31.90,-0.85
