,fast_base,slow_base,min_period_fast,max_period_fast,min_period_slow,max_period_slow,return,dd,sharpe
366,5,21,4,15,10,30,41.93,9.79,0.56
367,5,21,4,15,10,35,44.58,10.29,0.60
368,5,21,4,15,10,40,37.33,11.37,0.59
369,5,21,4,15,10,45,36.97,11.75,0.61
370,5,21,4,20,10,25,58.08,4.72,0.83
371,5,21,4,20,10,30,55.58,5.70,0.79
372,5,21,4,20,10,35,58.45,6.20,0.85
373,5,21,4,20,10,40,50.46,7.34,0.89
374,5,21,4,20,10,45,50.08,7.74,0.95
375,5,21,4,25,10,25,75.68,3.31,1.11
376,5,21,4,25,10,30,84.64,3.68,1.08
377,5,21,4,25,10,35,88.00,4.34,1.14
378,5,21,4,25,10,40,57.28,5.96,1.34
379,5,21,4,25,10,45,54.94,6.32,1.49
380,5,21,4,10,15,25,45.20,8.92,0.60
381,5,21,4,10,15,30,42.82,10.65,0.57
382,5,21,4,10,15,35,45.48,11.14,0.61
383,5,21,4,10,15,40,37.83,12.21,0.60
384,5,21,4,10,15,45,28.88,12.60,0.45
385,5,21,4,15,15,25,46.88,8.39,0.63
386,5,21,4,15,15,30,44.34,10.16,0.59
387,5,21,4,15,15,35,47.01,10.65,0.64
388,5,21,4,15,15,40,39.37,11.74,0.63
389,5,21,4,15,15,45,30.29,12.11,0.48
390,5,21,4,20,15,25,59.28,4.74,0.85
391,5,21,4,20,15,30,58.21,6.08,0.83
392,5,21,4,20,15,35,61.11,6.59,0.90
393,5,21,4,20,15,40,52.71,7.73,0.95
394,5,21,4,20,15,45,42.76,8.13,0.74
395,5,21,4,25,15,25,76.03,3.31,1.12
396,5,21,4,25,15,30,86.47,3.76,1.11
397,5,21,4,25,15,35,89.80,5.02,1.18
398,5,21,4,25,15,40,58.85,6.10,1.42
399,5,21,4,25,15,45,45.45,7.00,1.02
400,5,21,4,10,20,25,45.47,8.91,0.60
401,5,21,4,10,20,30,42.95,10.58,0.57
402,5,21,4,10,20,35,45.56,11.06,0.61
403,5,21,4,10,20,40,30.03,12.14,0.45
404,5,21,4,10,20,45,28.71,12.52,0.45
405,5,21,4,15,20,25,47.16,8.38,0.63
406,5,21,4,15,20,30,44.47,10.09,0.59
407,5,21,4,15,20,35,47.15,10.58,0.64
408,5,21,4,15,20,40,31.45,11.66,0.48
409,5,21,4,15,20,45,30.14,12.04,0.48
410,5,21,4,20,20,25,59.33,4.72,0.84
411,5,21,4,20,20,30,58.66,6.01,0.83
412,5,21,4,20,20,35,61.61,6.52,0.89
413,5,21,4,20,20,40,44.04,7.65,0.73
414,5,21,4,20,20,45,42.61,8.06,0.74
415,5,21,4,25,20,25,75.80,3.31,1.11
416,5,21,4,25,20,30,86.47,3.76,1.11
417,5,21,4,25,20,35,89.80,5.02,1.18
418,5,21,4,25,20,40,48.73,6.09,1.00
419,5,21,4,25,20,45,45.45,7.00,1.02
420,5,21,5,10,10,25,37.42,8.00,0.58
421,5,21,5,10,10,30,32.37,9.38,0.51
422,5,21,5,10,10,35,33.81,9.86,0.55
423,5,21,5,10,10,40,28.20,10.86,0.54
424,5,21,5,10,10,45,30.82,11.22,0.59
425,5,21,5,15,10,25,38.79,7.46,0.61
426,5,21,5,15,10,30,33.23,8.88,0.53
427,5,21,5,15,10,35,35.01,9.38,0.58
428,5,21,5,15,10,40,29.58,10.38,0.57
429,5,21,5,15,10,45,32.26,10.75,0.63
430,5,21,5,20,10,25,61.48,3.73,0.90
431,5,21,5,20,10,30,58.98,4.70,0.85
432,5,21,5,20,10,35,61.92,5.22,0.92
433,5,21,5,20,10,40,47.24,6.27,0.98
434,5,21,5,20,10,45,44.84,6.64,1.06
435,5,21,5,25,10,25,69.35,3.07,1.12
436,5,21,5,25,10,30,70.71,3.18,1.08
437,5,21,5,25,10,35,73.81,4.19,1.16
438,5,21,5,25,10,40,56.28,5.68,1.33
439,5,21,5,25,10,45,52.12,6.18,1.51
440,5,21,5,10,15,25,39.75,8.02,0.61
441,5,21,5,10,15,30,35.80,9.75,0.56
442,5,21,5,10,15,35,37.30,10.23,0.60
443,5,21,5,10,15,40,30.13,11.23,0.59
444,5,21,5,10,15,45,24.38,11.59,0.43
445,5,21,5,15,15,25,41.06,7.48,0.64
446,5,21,5,15,15,30,36.73,9.27,0.58
447,5,21,5,15,15,35,38.49,9.75,0.63
448,5,21,5,15,15,40,31.52,10.75,0.62
449,5,21,5,15,15,45,25.72,11.12,0.46
450,5,21,5,20,15,25,63.08,3.74,0.92
451,5,21,5,20,15,30,61.69,5.10,0.90
452,5,21,5,20,15,35,64.67,5.61,0.97
453,5,21,5,20,15,40,49.41,6.66,1.06
454,5,21,5,20,15,45,37.68,7.03,0.79
455,5,21,5,25,15,25,69.69,3.07,1.13
456,5,21,5,25,15,30,72.43,3.62,1.12
457,5,21,5,25,15,35,75.55,4.89,1.20
458,5,21,5,25,15,40,57.84,5.97,1.41
459,5,21,5,25,15,45,42.66,6.86,1.02
460,5,21,5,10,20,25,43.00,8.00,0.62
461,5,21,5,10,20,30,38.92,9.69,0.57
462,5,21,5,10,20,35,40.80,10.16,0.62
463,5,21,5,10,20,40,22.75,11.16,0.41
464,5,21,5,10,20,45,24.23,11.52,0.43
465,5,21,5,15,20,25,44.45,7.48,0.65
466,5,21,5,15,20,30,40.13,9.19,0.60
467,5,21,5,15,20,35,41.71,9.70,0.64
468,5,21,5,15,20,40,24.07,10.68,0.44
469,5,21,5,15,20,45,25.58,11.05,0.46
470,5,21,5,20,20,25,62.76,3.73,0.91
471,5,21,5,20,20,30,62.15,5.02,0.89
472,5,21,5,20,20,35,65.12,5.54,0.96
473,5,21,5,20,20,40,40.93,6.58,0.78
474,5,21,5,20,20,45,37.50,6.95,0.79
475,5,21,5,25,20,25,69.45,3.07,1.13
476,5,21,5,25,20,30,72.43,3.62,1.12
477,5,21,5,25,20,35,75.55,4.89,1.20
478,5,21,5,25,20,40,48.01,5.97,1.00
479,5,21,5,25,20,45,42.66,6.86,1.02
480,5,28,2,10,10,25,75.82,11.70,0.65
481,5,28,2,10,10,30,74.46,13.41,0.63
482,5,28,2,10,10,35,77.50,14.15,0.65
483,5,28,2,10,10,40,26.87,15.22,0.42
484,5,28,2,10,10,45,2.95,14.18,0.04
485,5,28,2,15,10,25,75.82,11.70,0.65
486,5,28,2,15,10,30,74.46,13.41,0.63
487,5,28,2,15,10,35,77.50,14.15,0.65
488,5,28,2,15,10,40,26.87,15.22,0.42
489,5,28,2,15,10,45,2.95,14.18,0.04
490,5,28,2,20,10,25,74.51,10.35,0.67
491,5,28,2,20,10,30,69.65,13.00,0.62
492,5,28,2,20,10,35,70.71,14.13,0.63
493,5,28,2,20,10,40,27.31,15.23,0.42
494,5,28,2,20,10,45,3.32,14.20,0.04
495,5,28,2,25,10,25,56.57,8.10,0.68
496,5,28,2,25,10,30,51.55,11.11,0.60
497,5,28,2,25,10,35,48.31,13.61,0.56
498,5,28,2,25,10,40,27.53,15.02,0.43
499,5,28,2,25,10,45,4.55,14.04,0.07
500,5,28,2,10,15,25,76.72,11.61,0.65
501,5,28,2,10,15,30,76.74,13.82,0.64
502,5,28,2,10,15,35,79.40,14.57,0.67
503,5,28,2,10,15,40,28.13,15.64,0.44
504,5,28,2,10,15,45,-0.48,14.34,-0.03
505,5,28,2,15,15,25,76.72,11.61,0.65
506,5,28,2,15,15,30,76.74,13.82,0.64
507,5,28,2,15,15,35,79.40,14.57,0.67
508,5,28,2,15,15,40,28.13,15.64,0.44
509,5,28,2,15,15,45,-0.48,14.34,-0.03
510,5,28,2,20,15,25,75.12,10.26,0.68
511,5,28,2,20,15,30,71.47,13.43,0.63
512,5,28,2,20,15,35,72.90,14.54,0.65
513,5,28,2,20,15,40,28.53,15.64,0.44
514,5,28,2,20,15,45,-0.11,14.35,-0.02
515,5,28,2,25,15,25,56.87,8.01,0.68
516,5,28,2,25,15,30,53.05,11.53,0.61
517,5,28,2,25,15,35,49.75,14.02,0.57
518,5,28,2,25,15,40,28.79,15.44,0.45
519,5,28,2,25,15,45,1.05,14.19,0.01
520,5,28,2,10,20,25,77.35,11.68,0.65
521,5,28,2,10,20,30,77.33,13.81,0.64
522,5,28,2,10,20,35,80.40,14.56,0.67
523,5,28,2,10,20,40,19.98,15.64,0.30
524,5,28,2,10,20,45,-0.48,14.34,-0.03
525,5,28,2,15,20,25,77.35,11.68,0.65
